case,pc_firefox,pc_chrome,pc_internet explorer,android_chrome,Title
test_16,1,0,0,0,Download Source File
test_594,1,0,0,0,KAF BlackBoard entry thumbnail
test_603,1,0,0,0,KAF BlackBoard view modes
test_637,1,0,0,0,Global Search for Channel
test_638,1,0,0,0,Global Search for Media
test_639,1,0,0,0,Global Search for Captions in Video
test_643,1,0,0,0,Home Page Carousel
test_651,1,0,0,0,Navigate to entry page from upload page
test_653,1,0,0,0,Free trial
test_655,1,0,0,0,My Media - Add to existing playlist - multiple
test_656,1,0,0,0,My Media - Add to a new playlist- multiple
test_657,1,0,0,0,My Media - Add to an existing playlist - Single
test_658,1,0,0,0,My Media - Add to a new playlist - Single
test_659,1,0,0,0,My Media - Delete - multiple
test_660,1,0,0,0,My Media - Delete - single
test_661,1,0,0,0,My Media - Publish to channel - single
test_662,1,0,0,0,My Media - Publish to category - single
test_663,1,0,0,0,My Media - Publish to channel - single
test_664,1,0,0,0,My Media - Publish to category - multiple
test_665,1,0,0,0,My media - Search in my media
test_666,1,0,0,0,My Media - Filter by status
test_667,1,0,0,0,My Media - Filter by media Type
test_668,0,1,0,0,My Media - Sort media
test_669,1,0,0,0,My Media - View: Collapsed
test_670,1,0,0,0,My Media - Expand media details
test_671,1,0,0,0,My Media - Navigate to Edit Entry page from My Media
test_672,1,0,0,0,My media - Navigate to entry page from my media
test_673,1,0,0,0,Playlists - Embed playlist
test_675,1,0,0,0,Playlists - Playlist reorder
test_676,1,0,0,0,Playlists - Add to playlist Entry already existing inside
test_677,1,0,0,0,Playlists - Add Entry from My Media to Several Playlists
test_678,1,0,0,0,Playlists - Add entry from Entry Page to several playlists together
test_679,1,0,0,0,Playlists - Remove Entry from one of playlist during to add same Entry to new
test_683,1,0,0,0,Create Empty Playlist
test_684,1,0,0,0,Entry page - Navigate to Edit Entry Page from Entry Page
test_685,1,0,0,0,Entry page - Edit Metadata
test_686,1,0,0,0,Entry page - Like Unlike
test_687,1,0,0,0,Entry page - Embed Entry
test_688,1,0,0,0,Entry page - Delete media from entry page
test_689,1,0,0,0,Entry page - Add to playlist from entry page
test_691,1,0,0,0,Entry page - Related Media
test_692,1,0,0,0,Entry page - Side My Media
test_693,1,0,0,0,Entry page - Publish to hannel from entry page
test_694,1,0,0,0,Entry page - Publish to category from entry page
test_695,1,0,0,0,Entry page - Add captions
test_697,0,1,0,0,Entry page - Add comment
test_698,0,1,0,0,Entry page - Close discussion
test_699,0,1,0,0,Entry page - Disable comments
test_702,1,0,0,0,Entry page - Attachments
test_703,1,0,0,0,Entry page - Replace Media
test_705,1,0,0,0,Categories - Search in category
test_706,1,0,0,0,TODO
test_707,1,0,0,0,Categories - Add new media from my media to category
test_709,0,1,0,0,Category - Entries details
test_710,1,0,0,0,Categories - Edit Entry link
test_711,1,0,0,0,Categories - Edit metadata
test_713,1,0,0,0,Category moderation
test_716,1,0,0,0,Categories Type
test_722,1,0,0,0,Categories - Browse channels
test_724,1,0,0,0,My Channels - Sort Channels
test_726,1,0,0,0,My Channels - Filter view
test_727,1,0,0,0,My Channels - Search as manager
test_728,1,0,0,0,My Channels - Search as member
test_729,1,0,0,0,My Channels - Search as subscriber
test_731,1,0,0,0,Channel page Information
test_733,1,0,0,0,Add media to channel via Add to
test_734,0,1,0,0,Channel - Entries details
test_735,1,0,0,0,Channel page - Search in channel
test_736,1,0,0,0,Channel - Remove entry from channel
test_737,1,0,0,0,Edit entry link in channel
test_739,1,0,0,0,Channel - Members tab
test_740,1,0,0,0,Channel page - Enable/Disable comments in channel
test_741,1,0,0,0,Channel page - Enable subscription in channel
test_742,1,0,0,0,Channel moderation
test_747,1,0,0,0,Channel page - Shared Repository
test_767,1,0,0,0,Create Channel Playlist
test_768,1,0,0,0,Filter in Channel Playlist
test_769,1,0,0,0,Embed Channel Playlist
test_869,1,0,0,0,add Publishing - playlist flow
test_876,1,0,0,0,add Publishing Schedule during upload
test_883,1,0,0,0,add Publishing Schedule via edit entry page
test_894,1,0,0,0,sort in my media
test_1026,1,0,0,0,Publish from upload page
test_1027,1,0,0,0,Edir entry - thumbnail tab
test_1395,1,0,0,0,Channel Type (Open / Restricted / Private)
test_1555,1,0,0,0,Disclaimer - before upload
test_1556,1,0,0,0,Disclaimer - before publish
test_1557,1,0,0,0,importChannel
test_1558,1,0,0,0,Disclaimer - before upload
test_1573,1,0,0,0,Home page playlist
test_1594,1,0,0,0,Entry required field
test_2510,1,0,0,0,Global Search for Category
test_2565,1,0,0,0,Watch History - Add entry (Private) to watch list history
test_2566,1,0,0,0,Watch History - Add entry (Published to channel- public) to watch list history
test_2567,1,0,0,0,Watch History - delete entry (Published to channel) from watch list history
test_2568,1,0,0,0,Watch History - delete multiple entries from watch list history
test_2569,1,0,0,0,Watch History - clear history
test_2571,0,1,0,0,Watch History - Add entry audio (Private) to watch list history
test_2573,1,0,0,0,Watch History - Add quiz entry (Private) to watch list history
test_2579,1,0,0,0,Watch History - Add entry (Published to channel- Private) to watch list history
test_2580,1,0,0,0,Watch History - Add entry (Published to channel- Restricted) to watch list history
test_2581,1,0,0,0,Watch History - Add entry (Published to channel- Open) to watch list history
test_2582,1,0,0,0,Watch History - Add entry (Published to Category - public) to watch list history
test_2606,1,0,0,0,Watch History - Delete Entry from KMS
test_2648,1,0,0,0,Watch History - Entry appear in watch list history after change privacy
test_2667,1,0,0,0,Watch History - Entry Viewed in channel
test_2668,1,0,0,0,Watch History - Entry Viewed in gallery
test_2671,1,0,0,0,Watch History - Youtube Viewed in
test_2673,1,0,0,0,Watch History - Entry Viewed in Embed
test_2679,0,1,0,0,Watch History - Resume playback
test_2693,1,0,0,0,Watch History - Search by name
test_2694,1,0,0,0,Watch History - Search by Description
test_2697,0,1,0,0,Watch History - Filter – media type - video
test_2702,1,0,0,0,Watch History - Filter by watch status
test_2728,1,0,0,0,Watch History - Continue Watching playlist in home page
test_2742,1,0,0,0,Watch History - Entry appear in both continue watch and recently watched playlists - Replay
test_2750,1,0,0,0,Watch History - Recently Watched playlist in home page
test_2755,0,1,0,0,Watch History - Recently Watched playlist in home page - audio
test_2757,1,0,0,0,Watch History - Recently Watched playlist in home page - Quiz
test_2882,1,0,0,0,KAF Sharepoint Upload media from desktop
test_3273,1,0,0,0,Slide Deck Upload
test_3274,1,0,0,0,Slide Deck Upload-delete slides
test_3275,1,0,0,0,SlideDeckUpload add-remove chapters
test_3276,1,0,0,0,Slide Deck Upload - change slide location
test_3277,1,0,0,0,Collaboration - edit metadata
test_3278,1,0,0,0,Collaboration co editor - Options tab
test_3279,1,0,0,0,Collaboration co editor - Thumbnail tab
test_3280,1,0,0,0,Collaboration co editor - Caption tab
test_3281,1,0,0,0,Collaboration co publish
test_3282,1,0,0,0,Collaboration negative test
test_3283,1,0,0,0,Slide Deck Upload- A-sync upload
test_3284,1,0,0,0,Slide Deck Upload- search slides
test_3881,1,0,0,0,SAML Login
