case,firefox,chrome,internet explorer,Title,,
test_0029,1,1,0,monetization: DoubleClick pre-roll,,
test_0030,1,1,0,monetization: DoubleClick pre-roll with skip,,
test_0032,0,1,0,monetization: DoubleClick overlay,,
test_0033,1,1,0,monetization: DoubleClick Pre-Mid-Post roll,,
test_0168,1,1,0,basic: Auto Loop,,
test_0181,1,1,0,basic: Auto Mute ,,
test_0180,1,1,0,basic: Auto Play,,
test_0178,1,1,0,basic: Full Screen ,,
test_1811,1,1,0,basic: Full Screen iFrame,,
test_0179,1,1,0,basic: Full Screen using keyboard,,
test_0189,0,1,0,basic: Hover,,
test_0183,1,1,0,basic: Image,,
test_0172,1,1,0,basic: Max allowed bit rate,,
test_0188,1,1,0,basic: Playhead,,
test_0175,1,1,0,basic: Playhead segment ,,
test_0182,1,1,0,basic: Playing audio,,
test_0170,1,1,0,basic: rate selector,,
test_0169,1,1,0,basic: Replay,,
test_0171,1,1,0,basic: Seek playback,,
test_0184,1,1,0,basic: Title,,
test_0173,1,1,0,basic: Title customized,,
test_0174,1,1,0,basic: Using reference id ,,
test_0187,1,1,0,basic: Using wrong reference id,,
test_0185,1,1,0,basic: Volume,,
test_0186,1,1,0,basic: Volume customized,,
test_0750,1,1,0,comscore: vod - playlist with DFP pre mid post - leadWithFlash - False,,
test_0771,1,1,0,comscore: Midrol events not fired when track cue points disabled,,
test_0749,1,1,0,comscore: vod - DFP overlay - leadWithFlash - False,,
test_1916,0,0,0,comscore: vod - DFP overlay - leadWithFlash - true,,
test_0747,0,0,0,comscore: vod - freewheel ad ,,
test_2221,1,1,0,comscore: vod - iframe embedd,,
test_0748,1,1,0,comscore: vod - playlist,,
test_0746,1,1,0,comscore: vod - playlist with bumper,,
test_1915,0,0,0,comscore: vod - playlist with DFP pre mid post - leadWithFlash - true,,
test_0751,1,1,0,comscore: vod - playlist with vast pre mid post and overlay lead with flash false ,,
test_0745,1,1,0,comscore: vod - single entry,,
test_0752,1,1,0,comscore: vod - vast midroll,,
test_1250,1,1,0,comscore: VOD playback with access contro,,
test_1067,1,1,0,comScoreStreamingTag: Bumper,,
test_1068,0,0,0,comScoreStreamingTag: Freewheel ad ,,
test_1069,1,1,0,comScoreStreamingTag: Playlist,,
test_2220,1,1,0,comScoreStreamingTag: VOD - GA - playlist with bumper,,
test_2248,1,1,0,comScoreStreamingTag: vod - iframe embedd,,
test_2249,1,1,0,comScoreStreamingTag: vod - Midrol events not fired when track cue points disabled,,
test_2247,1,1,0,comScoreStreamingTag: vod - single entry ,,
test_1918,1,1,0,comScoreStreamingTag: VOD playback playlist dfp overlay leadWithFlash-false,,
test_1070,0,0,0,comScoreStreamingTag: VOD playback playlist dfp overlay leadWithFlash-true,,
test_1917,1,1,0,comScoreStreamingTag: VOD playback playlist dfp pre mid post leadWithFlash-false,,
test_1071,0,0,0,comScoreStreamingTag: VOD playback playlist dfp pre mid post leadWithFlash-true,,
test_1072,1,1,0,comScoreStreamingTag: VOD playback playlist vast pre post companion,,
test_1073,1,1,0,comScoreStreamingTag: VOD playback vast mid rol ,,
test_1249,1,1,0,comScoreStreamingTag: VOD playback with access control,,
test_1919,1,1,0,ga: VOD - GA - playlist with dfp pre mid post - leadWithFlash false ,,
test_1085,1,1,0,ga: Live - GA - Live kaltura,,
test_1084,1,1,0,ga: Live - GA - Live kaltura with DVR ,,
test_1081,1,1,0,ga: VOD - GA - custom labels ,,
test_2223,0,0,0,ga: VOD - GA - feeewheel roll,,
test_1082,1,1,0,ga: VOD - GA - iFrame embed,,
test_1077,1,1,0,ga: VOD - GA - playlist,,
test_1079,0,0,0,ga: VOD - GA - playlist with dfp pre mid post - leadWithFlash true,,
test_1078,1,1,0,ga: VOD - GA - playlist with vast per roll and post roll,,
test_0589,1,1,0,ga: VOD - GA - single entry,,
test_1080,1,1,0,ga: VOD - GA - vast mid roll,,
test_2222,1,1,0,ga: VOD - GA - vast mid roll - cuepoints disabled,,
test_1921,1,1,0,ga: VOD playback playlist dfp overlay leadWithFlash-false,,
test_1920,0,0,0,ga: VOD playback playlist dfp overlay leadWithFlash-true,,
test_1251,1,1,0,ga: VOD playback with access control ,,
test_0336,1,1,0,live: Kaltura streamer (LeadWithHLSOnFlash),,
test_0337,1,1,0,live: Kaltura streamer with dvr (LeadWithHLSOnFlash),,
test_0352,1,1,0,live: Manual live - player 16x9 aspect ratio,,
test_0330,1,1,0,live: Universal streamer (LeadWithHLSOnFlash) ,,
test_0331,1,1,0,live: Universal streamer with dvr (LeadWithHLSOnFlash,,
test_0367,1,1,0,playlist: Vertical left playlist with auto play, auto continue, loop and started from 3rd entry
test_0368,1,1,0,playlist: Vertical right playlist with auto play, auto continue, loop
test_0372,0,1,0,playlist: Vertical mixed list with auto play and auto continue,,
test_0376,1,1,0,playlist: Vertical right playlist with controls above playlist area,,
test_0377,1,1,0,playlist: Vertical hidden playlist,,
test_0383,1,1,0,playlist: Horizontal playlist below,,
test_0384,1,1,0,playlist: Horizontal playlist below with auto play, auto continue and loop,
test_0392,1,1,0,playlist: Vertical playlist with long name,,
test_0393,1,1,0,playlist: Onpage playlist with 'clipListTargetID' flashvar,,
test_0965,1,1,0,playlist: Switch by playlist's controls,,
test_2106,1,1,0,playlist: Horizontal on page playlist below with source selector,,
test_0753,1,1,0,comscore: live - kaltura live,,
test_0754,1,1,0,comscore:  live - kaltura live with dvr,,
test_0755,1,1,0,comscore:  live - universal,,
test_0756,1,1,0,comscore:  live - universal with dvr,,
test_0197,1,1,0,kaltura: VOD stats wiith user id and ks,,
test_1185,1,1,0,kaltura: vod - single entry,,
test_1186,1,1,0,kaltura: vod - playlist with bumper,,
test_1187,0,0,0,kaltura: vod - freewheel ad,,
test_1188,1,1,0,kaltura: vod - playlist,,
test_1190,1,1,0,kaltura: vod - playlist with DFP pre mid post - leadWithFlash-false,,
test_1191,1,1,0,kaltura: vod - playlist with vast pre mid post and overlay,,
test_1192,1,1,0,kaltura: vod - vast midroll,,
test_1193,1,1,0,kaltura: live - kaltura live,,
test_1194,1,1,0,kaltura:  live - kaltura live with dvr,,
test_1195,1,1,0,kaltura: live - universal,,
test_1196,1,1,0,kaltura:  live - universal with dvr,,
test_1197,1,1,0,kaltura: Midrol events not fired when track cue points disabled,,
test_1924,0,0,0,kaltura: VOD - playlist with DFP pre mid post - leadWithFlash-true,,
test_1925,1,1,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-false,,
test_1926,0,0,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-true,,
test_2566,1,1,0,kaltura: VOD - kaltura - iFrame embed,,
test_2820,1,1,0,Youbora: VOD - single entry playback,,
test_1336,1,1,0,Youbora: VOD - playlist playback,,
test_1337,1,1,0,Youbora: VOD - playlist playback with DFP overlay,,
test_1338,1,1,0,Youbora: VOD - playlist playback with DFP preroll / mid / postroll,,
