environment,case,pc_firefox,pc_chrome,pc_internet explorer,android_chrome,Title,,
prod,test_0029,1,1,0,0,monetization: DoubleClick pre-roll,,
prod,test_0030,1,1,0,0,monetization: DoubleClick pre-roll with skip,,
prod,test_0032,0,1,0,0,monetization: DoubleClick overlay,,
prod,test_0033,1,1,0,0,monetization: DoubleClick Pre-Mid-Post roll,,
prod,test_0168,1,0,0,0,basic: Auto Loop,,
prod,test_0181,1,1,0,0,basic: Auto Mute ,,
prod,test_0180,1,1,0,0,basic: Auto Play,,
prod,test_0178,1,1,0,0,basic: Full Screen ,,
prod,test_1811,1,1,0,0,basic: Full Screen iFrame,,
prod,test_0179,1,1,0,0,basic: Full Screen using keyboard,,
prod,test_0189,0,1,0,0,basic: Hover,,
prod,test_0183,1,1,0,0,basic: Image,,
prod,test_0172,1,1,0,0,basic: Max allowed bit rate,,
prod,test_0188,1,1,0,0,basic: Playhead,,
prod,test_0175,1,1,0,0,basic: Playhead segment ,,
prod,test_0182,1,1,0,0,basic: Playing audio,,
prod,test_0170,1,1,0,0,basic: rate selector,,
prod,test_0169,1,1,0,0,basic: Replay,,
prod,test_0171,1,1,0,0,basic: Seek playback,,
prod,test_0184,1,1,0,0,basic: Title,,
prod,test_0173,1,1,0,0,basic: Title customized,,
prod,test_0174,1,1,0,0,basic: Using reference id ,,
prod,test_0187,1,1,0,0,basic: Using wrong reference id,,
prod,test_0185,1,1,0,0,basic: Volume,,
prod,test_0186,1,1,0,0,basic: Volume customized,,
prod,test_0750,1,1,0,0,comscore: vod - playlist with DFP pre mid post - leadWithFlash - False,,
prod,test_0771,1,1,0,0,comscore: Midrol events not fired when track cue points disabled,,
prod,test_0749,1,1,0,0,comscore: vod - DFP overlay - leadWithFlash - False,,
prod,test_1916,0,0,0,0,comscore: vod - DFP overlay - leadWithFlash - true,,
prod,test_0747,0,0,0,0,comscore: vod - freewheel ad ,,
prod,test_2221,1,1,0,0,comscore: vod - iframe embedd,,
prod,test_0748,1,1,0,0,comscore: vod - playlist,,
prod,test_0746,1,1,0,0,comscore: vod - playlist with bumper,,
